제목,작가,평점
당신의 아내였던 [독점],빵양이,7.5
귀환자의 S급 사용 설명서 [독점],인덱스,8.3
천대받던 마법명가 손녀딸은 암살천재 [독점],연비,7.0
공돌이도 강해질 수 있나요 [독점],경계의정원,6.8
오티스 (Outis) [독점],탐하다,8.6
화산귀환 [독점],비가,9.1
오만불손한 나의 그림자 [독점],초코냥이,8.3
A.I. 닥터 [독점],한산이가,9.7
친구 오빠랑 [독점],주해나,7.7
회귀수선전(回歸修仙傳),엄청난,8.9
어린 상사 [독점],박수정(방울마마),9.2
창귀무쌍,송장벌레,9.0
고결하고 천박한 그대에게 [독점],백묘,9.7
사라진 아역 배우가 돌아왔다,피제이,9.2
남주의 상태창을 빼앗아 버렸다! [독점],글만장자,7.7
자동차왕 헨리 포드는 조선 출신 재벌입니다,유유천천,8.2
달라진 건 없지만 [독점],leda,8.2
접대 골프를 너무 잘함,바나나치킨,8.1
시한부 대공비를 기억하세요 [독점],달보메,7.8
고유스킬은 남궁세가의 이름으로 [독점],흑월,7.0
잔혹한 이혼 [선공개],리키,6.8
천마하라고 누가 칼들고 협박함 [독점],크루크루,8.1
당신의 집착을 위한 도망 플랜 [독점],사장님,7.1
지구 멸망을 막을 사람이 나밖에 없다 [독점],황규영,8.5
가정부 [독점],은WOO,7.2
