Season,Episode,Date,Title,Rating,Review Count,Synopsis
S1,Ep1,6 Nov. 2001,12:00 a.m.-1:00 a.m.,8.2,"3,044",Jack Bauer is called to his office because there's a threat on the life of a US Senator who's running for President; Jack also discovers that his daughter has skipped out her bedroom window.
S1,Ep2,13 Nov. 2001,1:00 a.m.-2:00 a.m.,8.2,"2,284",An assassin has stolen the ID of a photographer scheduled to meet a presidential candidate; Jack's wife searches for their daughter; Jack gets more evidence of a rogue within his unit.
S1,Ep3,20 Nov. 2001,2:00 a.m.-3:00 a.m.,8.1,"2,118",Jack thinks he's identified the mole inside CTU. Kim and Janet realize they are being kidnapped and try to escape. Palmer orders an employee to get dirt on a reporter who might jeopardize his campaign. Ira Gaines' plans come to a halt when he must renegotiate with a conspirator.
S1,Ep4,27 Nov. 2001,3:00 a.m.-4:00 a.m.,8.1,"2,001",District Director George Mason (Berkely) shuts down CTU forcing Jack to escape in order to follow up on a lead on a conspirator. Nina and Jamie try to cover for him. Palmer discovers how a reporter found out about Keith. Jack finally learns that Kim and Janet have been kidnapped.
S1,Ep5,11 Dec. 2001,4:00 a.m.-5:00 a.m.,8.1,"1,905",Jack follows the arrested conspirator to the police station in order to get more info on Kim's whereabouts. Palmer meets with a reporter who has some damaging information. Kim realizes just how dangerous Ira Gaines really is.
S1,Ep6,18 Dec. 2001,5:00 a.m.-6:00 a.m.,8.4,"1,931",Jack meets up with Teri at the hospital where they wait to talk to Janet about Kim. Palmer confronts his family about the cover up.
S1,Ep7,8 Jan. 2002,6:00 a.m.-7:00 a.m.,8.5,"1,912",Jack returns to CTU to switch the key card with a fake per Gaines' orders. Palmer tries to convince Keith and Sherry to go public about the murder.
S1,Ep8,15 Jan. 2002,7:00 a.m.-8:00 a.m.,8.6,"1,874",Jack delivers the briefcase to the assassin at Palmer's press conference. Palmer wants to let the press know what happened with Keith and the murder.
S1,Ep9,22 Jan. 2002,8:00 a.m.-9:00 a.m.,8.3,"1,812",Jack is taken into custody by the Secret Service after he stops the assassination. He quickly escapes in order to check on another name from the key card. Palmer tries to deal with the assassination attempt.
S1,Ep10,5 Feb. 2002,9:00 a.m.-10:00 a.m.,8.1,"1,909",Jack is on the run after escaping custody and rushes to intercept Ted Cofell before he leaves the city. Nina receives a phone call from Teri and tries to trace the call. Palmer still wants to go ahead with the press conference despite objections. Alberta Green temporarily takes over as Director of CTU.
